Iteration;InternalAgent;OuterAgent;IGGIAgent;FlawedAgent;PiersAgent;VanDenBerghAgent;Mirror
5100;4.15;7.41;3.78;0.06;8.29;9.37;17.53
5125;3.81;6.87;3.85;0.0;8.61;8.79;17.49
5150;3.59;6.99;3.51;0.06;8.62;7.87;18.36
5175;3.45;7.18;4.23;0.0;8.63;8.44;18.28
5200;3.86;7.57;4.6;0.09;8.01;8.57;17.95
5225;3.57;7.66;3.95;0.04;8.28;8.87;17.99
5250;3.82;6.02;4.58;0.1;7.8;8.17;18.31
5275;3.64;7.03;4.29;0.07;8.97;8.1;17.71
5300;3.92;6.75;4.03;0.0;8.92;8.88;17.47
5325;4.08;6.79;4.24;0.0;8.99;9.2;18.37
5350;4.0;6.67;3.95;0.09;8.89;8.59;18.28
5375;3.29;7.03;3.69;0.03;9.07;9.16;18.28
5400;3.39;6.48;3.76;0.0;8.48;9.27;17.91
5425;2.79;5.21;2.97;0.06;7.18;7.44;8.13
5450;3.07;7.16;4.14;0.0;8.59;8.85;18.19
5475;3.31;7.02;3.66;0.0;8.62;9.26;18.18
5500;3.77;6.62;3.72;0.0;9.64;8.87;18.71
5525;3.7;7.73;4.44;0.0;8.32;10.01;18.74
5550;4.32;8.06;3.96;0.0;8.78;9.91;17.79
5575;3.69;6.14;3.93;0.0;7.82;8.99;18.12
5600;3.75;6.44;4.06;0.14;7.53;7.35;16.71
5625;4.44;6.9;4.43;0.02;9.5;9.16;18.21
5650;3.67;7.44;4.16;0.0;8.53;9.64;18.44
5675;3.56;7.12;4.79;0.09;9.58;9.04;18.54
5700;4.05;6.5;4.33;0.0;8.58;8.79;18.29
5725;2.7;6.3;4.13;0.0;8.04;8.47;18.33
5750;1.96;6.84;4.44;0.0;8.8;8.0;18.19
5775;3.73;6.72;4.17;0.12;8.27;9.13;18.79
5800;3.42;7.02;4.15;0.0;8.61;8.03;18.42
5825;4.08;7.62;4.67;0.06;9.54;9.0;18.86
5850;3.66;7.12;4.78;0.0;9.17;8.68;18.82
5875;4.38;7.43;4.5;0.0;9.01;8.56;18.85
5900;4.45;6.82;4.02;0.21;8.58;10.06;18.43
5925;3.88;7.6;3.94;0.08;8.71;9.12;18.65
5950;3.23;6.8;4.24;0.0;8.4;9.09;19.15
5975;3.5;6.08;3.29;0.0;7.8;8.23;19.0
